SMILES,NAME,COMPOUND_ID,LIBRARY,Name
O=C(O)c1c(O)ccc(c1)\N=C\c2c(O)ccc(c23)cccc3,Untitled_Molecule_219737,UNC10000113A,100K Diversity Set,
Clc1c(Cl)cccc1N2CCN(CC2)CCCCOc(c3)ccc(c34)CCC(=O)N4,Untitled_Molecule_219738,UNC10000000A,Functionally selective dopamine agonists,
Clc1c(Cl)cccc1N2CCN(CC2)CCCOc(c3)ccc(c34)CCC(=O)N4,Untitled_Molecule_219739,UNC10000001A,Functionally selective dopamine agonists,
Cc1c(C)cccc1N2CCN(CC2)CCCOc(c3)ccc(c34)CCC(=O)N4,Untitled_Molecule_219740,UNC10000002A,Functionally selective dopamine agonists,
c1ccc(Cl)c(Cl)c1N(CC2)CCCN2CCCOc(c3)ccc(c34)CCC(=O)N4,Untitled_Molecule_219741,UNC10000003A,Functionally selective dopamine agonists,
O=C1NCCc(c12)ccc(c2)OCCCCN3CCN(CC3)c4cccc(Cl)c4Cl,Untitled_Molecule_219742,UNC10000004A,Functionally selective dopamine agonists,
Clc1c(Cl)cccc1C2CCN(CC2)CCCCOc(cc3)cc(c34)NC(=O)CC4,Untitled_Molecule_219743,UNC10000005A,Functionally selective dopamine agonists,
c1ccc(Cl)c(Cl)c1N(CC2)CCCN2CCCCOc(c3)ccc(c34)CCC(=O)N4,Untitled_Molecule_219744,UNC10000006A,Functionally selective dopamine agonists,
Clc1c(Cl)cccc1N2CCN(CC2)CC(CC3)CCC3COc(c4)ccc(c45)CCC(=O)N5,Untitled_Molecule_219745,UNC10000007A,Functionally selective dopamine agonists,
Clc1c(Cl)cccc1N2CCN(CC2)C/C=C\COc(c3)ccc(c34)CCC(=O)N4,Untitled_Molecule_219746,UNC10000008A,Functionally selective dopamine agonists,
N1C(=O)CCc(c12)ccc(c2)OCC#CCN3CCN(CC3)c4c(Cl)c(Cl)ccc4,Untitled_Molecule_219747,UNC10000009A,Functionally selective dopamine agonists,
